Id,Name,Slug,"Term Taxonomy Id",Taxonomy,"Parent Id","Parent Slug",Description,"Term Group",Count,"Category Image","Woocommerce Term Meta"
8,Sports,sports,8,product_cat,0,,,0,0,,"a:2:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}s:25:""product_count_product_cat"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""1"";}"";}}"
9,Women,women,9,product_cat,0,,,0,2,,"a:2:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""2"";}}"
10,Men,men,10,product_cat,0,,,0,3,,"a:2:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""3"";}}"
11,Organization,organization,11,product_cat,0,,,0,0,,"a:2:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}s:25:""product_count_product_cat"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""1"";}"";}}"
12,Apparel,apparel,12,product_cat,0,,Apparel,0,7,,"a:2:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""7"";}}"
13,Baseball,baseball,13,product_cat,8,sports,Baseball,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
14,Football,football,14,product_cat,8,sports,"Football ",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
15,Basketball,basketball,15,product_cat,8,sports,"Basketball ",0,0,,"a:2:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}s:25:""product_count_product_cat"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""1"";}"";}}"
16,Casual,casual,16,product_cat,8,sports,Casual,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
17,Cheer,cheer,17,product_cat,8,sports,Cheer,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
18,"Cross Country",cross-country,18,product_cat,8,sports,"Cross Country",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
19,Golf,golf,19,product_cat,8,sports,Golf,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
20,Hockey,hockey,20,product_cat,8,sports,Hockey,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:18:""a:1:{i:0;s:1:""0"";}"";}}"
