Id,Name,Slug,"Term Taxonomy Id",Taxonomy,"Parent Id","Parent Slug",Description,"Term Group",Count,"Category Image","Woocommerce Term Meta"
16,Sports,sports,16,product_cat,0,,,0,1,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""1"";}}"
17,Women,women,17,product_cat,0,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
18,Men,men,18,product_cat,0,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
19,Organization,organization,19,product_cat,0,,,0,0,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""1"";}}"
20,Apparel,apparel,20,product_cat,0,,Apparel,0,1,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""1"";}}"
21,Baseball,baseball,21,product_cat,16,sports,Baseball,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
22,Football,football,22,product_cat,16,sports,"Football ",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
23,Basketball,basketball,23,product_cat,16,sports,"Basketball ",0,1,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""1"";}}"
24,Casual,casual,24,product_cat,16,sports,Casual,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
25,Cheer,cheer,25,product_cat,16,sports,Cheer,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
26,"Cross Country",cross-country,26,product_cat,16,sports,"Cross Country",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
27,Golf,golf,27,product_cat,16,sports,Golf,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
28,Hockey,hockey,28,product_cat,16,sports,Hockey,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
29,Lacrosse,lacrosse,29,product_cat,16,sports,Lacrosse,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
30,Running,running,30,product_cat,16,sports,Running,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
31,Skate,skate,31,product_cat,16,sports,Skate,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
32,Soccer,soccer,32,product_cat,16,sports,Soccer,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
33,Softball,softball,33,product_cat,16,sports,Softball,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
34,Tennis,tennis,34,product_cat,16,sports,Tennis,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
35,"Track &amp; Field",track-field,35,product_cat,16,sports,"Track &amp; Field",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
36,"Training &amp; Fitne..",training-fitne,36,product_cat,16,sports,"Training &amp; Fitne.. ",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
37,Volleyball,volleyball,37,product_cat,16,sports,Volleyball,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
38,Wrestling,wrestling,38,product_cat,16,sports,Wrestling,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
39,"Field Hockey",field-hockey,39,product_cat,16,sports,"Field Hockey",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
40,T-Shirt,t-shirt,40,product_cat,20,apparel,T-Shirt,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
41,Vests,vests,41,product_cat,20,apparel,Vests,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
42,Hats,hats,42,product_cat,20,apparel,Hats,0,1,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""1"";}}"
43,Polo's,polos,43,product_cat,20,apparel,Polo's,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
44,"Dress Shirts",dress-shirts,44,product_cat,20,apparel,"Dress Shirts",0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
45,Hoodie,hoodie,45,product_cat,20,apparel,Hoodie,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
46,Pullover,pullover,46,product_cat,20,apparel,Pullover,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
